source_section,source_group,source_group_name,target_section,target_group,target_group_name,money_flow
J,61,Телекоммуникации,G,46,Оптовая торговля,18549723.54
A,1,Растениеводство и животноводство,IP,IP,ИП / Физлицо,14658050.0
O,84,Государственное управление,Q,86,Здравоохранение,13504559.82
H,49,Сухопутный транспорт,G,46,Оптовая торговля,11704631.5
P,85,Образование,O,84,Государственное управление,10659574.06
F,41,Строительство зданий,IP,IP,ИП / Физлицо,10499450.69
P,85,Образование,E,36,Водоснабжение,10380971.57
R,93,Спорт и отдых,IP,IP,ИП / Физлицо,9977457.23
O,84,Государственное управление,N,80,Охрана и безопасность,9112004.38
C,21,Производство лекарств,C,20,Производство химических веществ,8472867.63
C,21,Производство лекарств,R,93,Спорт и отдых,8399347.47
M,72,Научные исследования,J,61,Телекоммуникации,8287938.0
Q,86,Здравоохранение,J,61,Телекоммуникации,7705036.550000001
J,63,Информационные технологии,F,41,Строительство зданий,7611528.29
J,63,Информационные технологии,D,35,"Электроэнергия, газ и пар",7432827.130000001
N,81,Обслуживание зданий и территорий,D,35,"Электроэнергия, газ и пар",7131908.82
N,80,Охрана и безопасность,D,35,"Электроэнергия, газ и пар",6511731.83
O,84,Государственное управление,M,69,Юридические и бухгалтерские услуги,6391151.84
P,85,Образование,M,69,Юридические и бухгалтерские услуги,6222586.01
D,35,"Электроэнергия, газ и пар",M,69,Юридические и бухгалтерские услуги,6190000.0
Q,86,Здравоохранение,F,43,Специализированные строительные работы,5984081.71
R,90,Творчество и искусство,G,46,Оптовая торговля,5970469.03
J,63,Информационные технологии,IP,IP,ИП / Физлицо,5677630.04
K,65,Страхование,G,46,Оптовая торговля,5475705.4399999995
P,85,Образование,N,81,Обслуживание зданий и территорий,5417256.49
J,63,Информационные технологии,G,46,Оптовая торговля,5360033.97
J,62,Разработка программного обеспечения,G,46,Оптовая торговля,5096168.14
P,85,Образование,Q,88,Социальные услуги,5092377.84
K,65,Страхование,N,80,Охрана и безопасность,4966311.82
